asset_id,name,asset_type,city,submarket,address,NLA_sqm,in_place_rent_psm,market_rent_psm,occupancy_rate,wale_years,opex_ratio,purchase_price,capex_budget,build_year,last_reno_year,submarket_liquidity,benchmark_price_psm,source_hint,url_placeholder
AUS-001,Retail (Neighbourhood) Western Sydney Sydney,Retail (Neighbourhood),Sydney,Western Sydney,"723 Flinders St, Sydney",10075,553.01,609.23,0.73,4.0,0.26,56769000,966000,2007,2007,8.1,8222,Sydney Western Sydney Retail (Neighbourhood) leasing market rental report site:.au,TBD
AUS-002,Office Northern Corridor Perth,Office,Perth,Northern Corridor,"623 Murray St, Perth",18700,397.28,424.57,0.8,2.1,0.44,98022000,2305000,1980,2004,4.3,5936,Perth Northern Corridor Office leasing market rental report site:.au,TBD
AUS-003,Retail (Neighbourhood) CBD Fringe Sydney,Retail (Neighbourhood),Sydney,CBD Fringe,"880 Hay St, Sydney",5925,437.95,462.86,0.97,3.5,0.29,49094000,433000,2017,2020,8.5,9433,Sydney CBD Fringe Retail (Neighbourhood) leasing market rental report site:.au,TBD
AUS-004,Office CBD Fringe Sydney,Office,Sydney,CBD Fringe,"952 Adelaide St, Sydney",14975,456.58,485.77,0.91,5.8,0.26,119427000,4768000,2009,2016,7.3,6708,Sydney CBD Fringe Office leasing market rental report site:.au,TBD
AUS-005,Retail (Neighbourhood) South Adelaide,Retail (Neighbourhood),Adelaide,South,"910 Adelaide St, Adelaide",11425,380.8,413.87,0.82,1.5,0.43,53045000,1920000,2020,2022,4.4,4297,Adelaide South Retail (Neighbourhood) leasing market rental report site:.au,TBD
AUS-006,Office Northern Corridor Perth,Office,Perth,Northern Corridor,"161 Adelaide St, Perth",6350,384.34,393.12,0.88,3.5,0.45,33671000,425000,2006,2008,6.3,5986,Perth Northern Corridor Office leasing market rental report site:.au,TBD
AUS-007,Retail (Neighbourhood) Airport Precinct Melbourne,Retail (Neighbourhood),Melbourne,Airport Precinct,"305 William St, Melbourne",4250,406.99,453.82,0.96,1.1,0.39,23274000,989000,2009,2017,7.5,5399,Melbourne Airport Precinct Retail (Neighbourhood) leasing market rental report site:.au,TBD
AUS-008,Industrial Airport Precinct Melbourne,Industrial,Melbourne,Airport Precinct,"557 Flinders St, Melbourne",28725,400.14,392.29,0.97,7.1,0.31,208695000,8377000,2013,2016,6.3,7384,Melbourne Airport Precinct Industrial leasing market rental report site:.au,TBD
AUS-009,Office Parramatta Sydney,Office,Sydney,Parramatta,"550 Oxford St, Sydney",15925,645.6,700,0.77,2.7,0.36,78587000,733000,2021,2024,8.6,9401,Sydney Parramatta Office leasing market rental report site:.au,TBD
AUS-010,Retail (Neighbourhood) Airport Precinct Melbourne,Retail (Neighbourhood),Melbourne,Airport Precinct,"128 Hay St, Melbourne",7050,511.45,560,0.93,5.8,0.39,41857000,1128000,2017,2022,6.9,6233,Melbourne Airport Precinct Retail (Neighbourhood) leasing market rental report site:.au,TBD
AUS-011,Office West Melbourne,Office,Melbourne,West,"557 Oxford St, Melbourne",3075,281.73,301.54,0.72,1.5,0.26,18590000,431000,2007,2014,6.6,6081,Melbourne West Office leasing market rental report site:.au,TBD
